state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",14-11-2025 21:00,17.336318,76.847397,PM10,25,71,43
Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",14-11-2025 21:00,17.336318,76.847397,OZONE,14,28,19
Madhya Pradesh,Indore,"Regional Park, Indore - IMC",14-11-2025 21:00,22.678,75.8559,NH3,NA,NA,NA
Madhya Pradesh,Indore,"Regional Park, Indore - IMC",14-11-2025 21:00,22.678,75.8559,SO2,20,26,23
Madhya Pradesh,Indore,"Regional Park, Indore - IMC",14-11-2025 21:00,22.678,75.8559,OZONE,12,19,15
Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",14-11-2025 21:00,23.142888,79.916147,PM2.5,42,247,100
Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",14-11-2025 21:00,16.7143745,74.2426398,PM10,64,197,122
Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",14-11-2025 21:00,16.7143745,74.2426398,NO2,16,90,50
Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",14-11-2025 21:00,16.7143745,74.2426398,CO,18,80,37
Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",14-11-2025 21:00,18.39963,76.57452,SO2,1,8,3
Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",14-11-2025 21:00,18.1023399,73.4783687,PM2.5,49,236,102
Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",14-11-2025 21:00,18.1023399,73.4783687,NO2,8,43,21
Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",14-11-2025 21:00,18.1023399,73.4783687,NH3,3,5,4
Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",14-11-2025 21:00,20.555712,74.529236,PM10,NA,NA,NA
Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",14-11-2025 21:00,20.555712,74.529236,NH3,NA,NA,NA
Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",14-11-2025 21:00,19.2243333,72.8658113,PM2.5,NA,NA,NA
Maharashtra,Mumbai,"Byculla, Mumbai - BMC",14-11-2025 21:00,18.9767,72.838,PM10,56,102,72
Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",14-11-2025 21:00,19.11074,72.86084,NO2,36,166,90
Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",14-11-2025 21:00,19.11074,72.86084,SO2,1,20,7
Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",14-11-2025 21:00,19.11074,72.86084,CO,9,106,49
Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",14-11-2025 21:00,19.0364585,72.8954371,PM2.5,149,268,190
Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",14-11-2025 21:00,19.0364585,72.8954371,PM10,112,145,129
Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",14-11-2025 21:00,19.0364585,72.8954371,CO,34,88,49
